年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（防災生活道路整備促進事業）,沿道不燃化,"補助金の目的：大規模市街地火災に対する避難者の安全性確保及び延焼防止を図る
補助対象者　：区市
補助対象経費：一般建築助成費、住宅型不燃建築物助成費
負担割合　　：都1/2、区市1/2",1,区市町村,"50,905 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,https://www.funenka.metro.tokyo.lg.jp/initiatives/disaster-prevention-life/
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（木密地域私道等無電柱化推進事業）,木密地域私道等無電柱化推進助成,"補助金の目的：重点整備地域内等の私道等の無電柱化を推進
補助対象者　：区市、土地所有者
補助対象経費：調査費、測量費、設計費、工事費、用地費、補償費、コーディネート費等　　　　　　　　　
負担割合　　：都1",1,区市町村,"126,000 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,https://www.funenka.metro.tokyo.lg.jp/initiatives/no-utility-poles/
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（地区計画策定支援）,防災まちづくり検討関連経費助成,"補助金の目的：防災性の向上を目的としたまちづくりを検討しようとする区市に対し、区市における防災まちづくりに関する計画策定、都が策定する整備プログラムの内容検討に必要な調査、まちづくり協議会等の活動の支援
補助対象者　：区市
補助対象経費：調査費、まちづくりコンサルタント等派遣費、まちづくりの啓発活動費、協議会の活動助成費、方針作成費
負担割合　　：都1/2、区市1/2",1,区市町村,"23,363 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,https://www.funenka.metro.tokyo.lg.jp/initiatives/district-planning/index.html
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（地区計画策定支援）,地区計画策定関連経費助成,"補助金の目的：木密地域の拡大・再生産防止、防災性の向上及び良好な市街地環境の形成
補助対象者　：区市
補助対象経費：調査費、まちづくりの啓発活動費、協議会の活動助成費、方針作成費
負担割合　　：都1/2、区市1/2",1,区市町村,"9,866 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,https://www.toshiseibi.metro.tokyo.lg.jp/bosai/sokushin/sakuteijigyo.html
2026,10,都市整備局,14,都市の整備,災害時業務継続施設整備事業,東京都災害時業務継続施設整備事業補助金,"補助金の目的：「都市づくりのグランドデザイン」が掲げる都市像の実現に向け、都市の防災性向上及び東京の国際競争力強化を促進するため、災害時の業務継続の確保に資するエネルギーの自立化・多重化を図る
補助対象者　：都市再生特別措置法第１９条に規定する都市再生緊急整備協議会 
補助対象経費：都市再生特別措置法第１９条の１５に規定する都市再生安全確保計画に位置付けられた事業のうち、国が定める都市再生推進事業制度要綱第３０条第４項に規定する認定を受けたエネルギー導管等整備事業計画に位置付けられたエネルギー導管（未利用熱を取得する導管を含む 。）、エネルギー貯留施設及びそれらの付帯施設の整備に要する費用
負担割合　　：国2/5、都2/5、事業者1/5",5,民間団体,"194,446 ",都市整備局市街地整備部企画課,03-5320-5121,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,老朽建築物除却等支援,"補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：除却費、補償費
負担割合：都1/2、区市1/2",1,区市町村,"303,309 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,"建替え促進支援
共同建替え助成支援
建築設計費、共同施設整備費","補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：建築設計費、共同施設整備費
負担割合：都1/2、区市1/2",1,区市町村,"30,901 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,"建替え促進支援
戸建て建替え助成支援
建築設計費","補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：建築設計費
負担割合：都1/2、区市1/2",1,区市町村,"75,363 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,専門家派遣支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　まちづくりコンサルタント派遣支援,"補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：委託費
負担割合：都1/2、区市1/2",1,区市町村,"49,087 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,"専門家派遣支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
無接道敷地等対策コーディネーター派遣支援","補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：委託費
負担割合：都1/2、区市1/2",1,区市町村,"5,683 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,専門家派遣支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　士業派遣支援,"補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：派遣費
負担割合：都1/2、区市1/2",1,区市町村,650 ,都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,防災密集地域再生促進事業（整備地域等不燃化集中促進事業）,専門家派遣支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　戸別訪問支援,"補助金の目的：整備地域等において、局所的に改善が進んでいない区域のにおける不燃化等
補助対象者　：区市
補助対象経費：委託費
負担割合：都1/2、区市1/2",1,区市町村,"1,197 ",都市整備局市街地整備部防災都市づくり課,03-5320-5142,
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、組合施行、都市計画施設：都、区の管理,"補助金の目的：健全な市街地の整備
補助対象者　：民間団体
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/2、都1/2",5,民間団体,"800,000 ",都市整備局市街地整備部区画整理課,"03-5320-5132
03-5320-5441",https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、組合施行、都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：民間団体
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/2、都1/2",5,民間団体,"199,844 ",都市整備局市街地整備部区画整理課,"03-5320-5132
03-5320-5441",https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、組合施行、都市再生,"補助金の目的：健全な市街地の整備
補助対象者　：区市町村
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/3、都1/3、区市町村1/3",1,区市町村,"536,804 ",都市整備局市街地整備部区画整理課,"03-5320-5132
03-5320-5441",https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,都単独事業（組合施行）、都市計画施設：都、区の管理,"補助金の目的：健全な市街地の整備
補助対象者　：民間団体
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1",5,民間団体,"29,000 ",都市整備局市街地整備部区画整理課,"03-5320-5132
03-5320-5441",https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,都単独事業（組合施行）、都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：民間団体
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1/2、市町村1/2",5,民間団体,"1,055,082 ",都市整備局市街地整備部区画整理課,"03-5320-5132
03-5320-5441",https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、公共団体施行、都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：市町村
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/2、都1/4、市町村1/4",1,区市町村,"119,620 ",都市整備局市街地整備部区画整理課,03-5320-5441,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、公共団体施行、都市再生、都市計画施設：都、区の管理,"補助金の目的：健全な市街地の整備
補助対象者　：区
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/3、都1/3、区市町村1/3",1,区市町村,"24,227 ",都市整備局市街地整備部区画整理課,03-5320-5441,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,国庫補助対象、公共団体施行、都市再生、都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：市町村
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：国1/3、都1/3、区市町村1/3",1,区市町村,"393,282 ",都市整備局市街地整備部区画整理課,03-5320-5441,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,都単独事業（公共団体施行）、都市計画施設：区の管理,"補助金の目的：健全な市街地の整備
補助対象者　：区
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1/2、市町村1/2",1,区市町村,"12,259 ",都市整備局市街地整備部区画整理課,03-5320-5441,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,土地区画整理事業,都単独事業（公共団体施行）、都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：市町村
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1/2、市町村1/2",1,区市町村,"39,950 ",都市整備局市街地整備部区画整理課,03-5320-5441,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_04.pdf
2026,10,都市整備局,14,都市の整備,都市づくり公社助成,都市計画施設：都の管理,"補助金の目的：健全な市街地の整備
補助対象者　：（公財）東京都都市づくり公社
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1",3,政策連携団体,"500,000 ","都市整備局市街地整備部管理課
",03-5320-5105,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu.html
2026,10,都市整備局,14,都市の整備,都市づくり公社助成,都市計画施設：市町村の管理,"補助金の目的：健全な市街地の整備
補助対象者　：（公財）東京都都市づくり公社
補助対象経費：物件移転補償費、工事費、用地費、無電柱化工事費
負担割合　　：都1/2、市町村1/2",3,政策連携団体,"19,750 ","都市整備局市街地整備部管理課
",03-5320-5105,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/hojyoshisyutsu.html
2026,10,都市整備局,14,都市の整備,市街地再開発事業助成,市街地整備補助、一般会計、組合等施行,"補助金の目的：土地の合理的かつ健全な高度利用を図る
補助対象者　：市街地再開発組合等
補助対象経費：調査設計計画費、土地整備費、共同施設整備費等
負担割合　　：国1/3、都1/6、市町1/6、組合等1/3",5,民間団体,"35,556 ",都市整備局市街地整備部再開発課,03-5320-5131,https://www.toshiseibi.metro.tokyo.lg.jp/about/jouhou/hojyoshisyutsu
2026,10,都市整備局,14,都市の整備,市街地再開発事業助成,市街地整備補助、道路特会、組合等施行,"補助金の目的：土地の合理的かつ健全な高度利用を図る
補助対象者　：市街地再開発組合等
補助対象経費：用地費、補償費、工事費、付帯工事費、測量費、試験費等
負担割合　　：国1/2、都1/8、市町1/8",5,民間団体,"18,000 ",都市整備局市街地整備部再開発課,03-5320-5131,https://www.toshiseibi.metro.tokyo.lg.jp/about/jouhou/hojyoshisyutsu
2026,10,都市整備局,14,都市の整備,市街地再開発事業助成,公共施設管理者負担金、道路特会（臨交Ａ）、組合等施行,"補助金の目的：土地の合理的かつ健全な高度利用を図る
補助対象者　：市街地再開発組合等
補助対象経費：用地費、補償費、工事費、付帯工事費、測量費、試験費等
負担割合　　：国1/2、都1/2",5,民間団体,"1,198,474 ",都市整備局市街地整備部再開発課,03-5320-5131,https://www.toshiseibi.metro.tokyo.lg.jp/about/jouhou/hojyoshisyutsu
2026,10,都市整備局,14,都市の整備,宅地販売事業,施設改修支援事業補助,"補助金の目的：多摩ニュータウン地域の団地の活用促進に資する施設改修支援
補助対象者　：独立行政法人都市再生機構、東京都住宅供給公社、民間事業者等
補助対象経費：空き店舗、共用施設等及び空き住戸等の改修等に要する経費
負担割合　　：都1/2、事業者等1/2",7,その他団体,"5,000 ",都市整備局多摩まちづくり政策部多摩ニュータウン課,03-5320-5472,https://www.toshiseibi.metro.tokyo.lg.jp/bosai/tama/saisei.html
2026,10,都市整備局,14,都市の整備,住宅建設対策,住宅建設対策,"補助金の目的：多摩ニュータウン開発時の学校等整備に伴う財政補助
補助対象者　：２市（八王子市、稲城市）
補助対象経費：義務教育施設その他公益施設
負担割合　　：都1/2、市町村1/2（都施行用地については都1)",1,区市町村,"205,025 ",都市整備局多摩まちづくり政策部多摩ニュータウン課,03-5320-5472,https://www.toshiseibi.metro.tokyo.lg.jp/jouhou/pdf/hojyoshisyutsu_03_02.pdf
2026,10,都市整備局,14,都市の整備,建築指導事務,ブロック塀等撤去助成,"補助金の目的：ブロック塀等の安全対策の促進
補助対象者　：区市町村
補助対象経費：ブロック塀等の耐震診断、除却、建替え、耐震改修等に要する費用
負担割合　　：国1/3　都１/6　区市町村1/6　所有者　１/3　",1,区市町村,"30,313 ",都市整備局市街地建築部建築企画課,03-5388-3344,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,建築指導事務,ブロック塀等対策普及啓発助成,"補助金の目的：ブロック塀等の安全対策の促進
補助対象者　：区市町村
補助対象経費：ブロック塀等所有者への普及啓発活動に要する費用
負担割合　　：国1/2　都１/4　区市町村1/4",1,区市町村,"4,687 ",都市整備局市街地建築部建築企画課,03-5388-3344,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,建築指導事務,民間建築物吹付けアスベスト等飛散防止対策,"補助金の目的：民間建築物のアスベスト飛散防止対策の促進
補助対象者　：区市町村
補助対象経費：吹付けアスベスト等の除去、封じ込め・囲い込みに要する費用（延べ面積が1,000㎡以上の建築物）
負担割合　　：国１/3　都1/6　区市町村1/3　所有者1/6　",1,区市町村,"3,250 ",都市整備局市街地建築部建築企画課,03-5388-3344,https://www.toshiseibi.metro.tokyo.lg.jp/kenchiku/asbestos/taisaku.html
2026,10,都市整備局,14,都市の整備,建築指導事務,土砂災害対策改修事業,"補助金の目的：土砂災害特別警戒区域内の建築物の安全性確保
補助対象者：区市町村
補助対象経費：既存不適格建築物の外壁補強、擁壁設置に要する費用
負担割合：国11.5%　都5.75%　区市町村5.75%　所有者77%　",1,区市町村,561 ,都市整備局市街地建築部建築企画課,03-5388-3344,
2026,10,都市整備局,14,都市の整備,建築指導事務,"がけ地近接等危険住宅移転事業
","補助金の目的：土砂災害特別警戒区域におけるがけ崩れ等の危険から住民の生命の安全を確保
補助対象者：区市町村
補助対象経費：土砂災害特別警戒区域内の既存不適格住宅等からの移転に要する費用（除却等費、建物助成費　等）
公費負担割合：国1/2　都１/4　区市町村１/４　　（補助限度額：建設助成費4,210千円　等）",1,区市町村,"1,646 ",都市整備局市街地建築部建築企画課,03-5388-3344,
2026,10,都市整備局,14,都市の整備,建築指導事務,構造木質化に係る大臣認定取得費用補助金,"補助金の目的：建築物分野における炭素貯蔵効果の高い木材利用の促進と低炭素社会の実現
補助対象者　：民間事業者（大臣認定取得費用負担者）
補助対象経費：木材利用に資する防耐火構造にかかる国土交通大臣評価・認定申請手数料
負担割合　　：都１/2　民間事業者１/2　",5,民間団体,"6,299 ",都市整備局市街地建築部建築企画課,03-5320-5031,https://www.datsutansoka.metro.tokyo.lg.jp/timber/subsidy/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,構造木質化の推進に係るスプリンクラー設備等設置補助金,"補助金の目的：建築物分野における炭素貯蔵効果の高い木材利用の促進と低炭素社会の実現
補助対象者　：民間事業者（建築主）
補助対象経費：木材利用に資するスプリンクラー設備等設置に要する費用
負担割合　　：都１/2　民間事業者１/2　",5,民間団体,"26,250 ",都市整備局市街地建築部建築企画課,03-5320-5031,https://www.datsutansoka.metro.tokyo.lg.jp/timber/subsidy/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,東京都既存非住宅省エネ改修促進事業補助金（区市町村）,"補助金の目的：既存非住宅の省エネ化を促進
補助対象者　：区市町村
補助対象経費：中小企業者等による既存非住宅の省エネ診断、設計、改修に要する費用
負担割合　　：（省エネ診断、設計）国1/3、都１/6+1/6(都加算)、区１/6、民間事業者1/6
　　　　　　　（省エネ設計）国11.5%、都5.75%+5.75%(都加算)、区5.75%、民間事業者71.25%　",1,区市町村,"8,576 ",都市整備局市街地建築部建築企画課,03-5320-5031,https://www.datsutansoka.metro.tokyo.lg.jp/saving/subsidy/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,東京都既存非住宅省エネ改修促進事業補助金（中小企業者等）,"補助金の目的：既存非住宅の省エネ化を促進
補助対象者　：中小企業者等
補助対象経費：中小企業者等による既存非住宅の省エネ診断、設計、改修に要する費用
負担割合　　：（省エネ診断、設計）国1/3、都１/3、民間事業者1/3
　　　　　　　（省エネ設計）国11.5%、都11.5%、民間事業者77%　",5,民間団体,"21,564 ",都市整備局市街地建築部建築企画課,03-5320-5031,https://www.datsutansoka.metro.tokyo.lg.jp/saving/subsidy/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,液状化の判定に係る調査費用助成 （区市町村向け）,"補助金の目的：建築物における液状化対策の推進
補助対象者　：区市町村
補助対象経費：液状化の判定に係る調査に要する費用
負担割合　　：都1/3　区市町村1/3　所有者1/3",1,区市町村,"1,862 ",都市整備局市街地建築部建築企画課,03-5388-3362,https://kenchiku-ekijoka.metro.tokyo.lg.jp/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,液状化の判定に係る調査費用助成（都民向け),"補助金の目的：建築物における液状化対策の推進
補助対象者　：土地の所有者等
補助対象経費：液状化の判定に係る調査に要する費用
負担割合　　：都1/2　所有者1/2",6,一般都民,700 ,都市整備局市街地建築部建築企画課,03-5388-3362,https://kenchiku-ekijoka.metro.tokyo.lg.jp/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,液状化対策工事に係る費用助成,"補助金の目的：建築物における液状化対策の推進
補助対象者　：区市町村
補助対象経費：液状化対策工事に要する費用
負担割合　　：都１/4　区市町村1/4　所有者1/2",1,区市町村,"1,600 ",都市整備局市街地建築部建築企画課,03-5388-3362,https://kenchiku-ekijoka.metro.tokyo.lg.jp/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,既存建築物液状化対策工法審査証明書取得費用補助金,"補助金の目的：建築物における液状化対策の推進
補助対象者　：民間事業者
補助対象経費：①工法の証明等に要する費用、②証明書の取得手数料
負担割合　　：都１/２　民間事業者１/２",5,民間団体,"13,000 ",都市整備局市街地建築部建築企画課,03-5388-3362,https://kenchiku-ekijoka.metro.tokyo.lg.jp/index.html
2026,10,都市整備局,14,都市の整備,建築指導事務,区市町村における再エネ促進計画策定支援事業,"補助金の目的：都内での再エネ促進区域制度の適用と再エネ設備設置を促進
補助対象者　：区市町村
補助対象経費：再エネ促進計画策定のために要する費用
負担割合　　：都1/2 区市町村1/2",1,区市町村,"4,130 ",都市整備局市街地建築部建築企画課,03-5320-5031,https://www.datsutansoka.metro.tokyo.lg.jp/renewable/subsidy/index.html
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,住宅の耐震診断費助成,"補助金の目的：都内全域において、戸建て住宅等の耐震性の向上を図る
補助対象者　：区市町村
補助対象経費：耐震診断に要する経費
負担割合（都費最大の場合）:
　　戸建住宅及び住宅（戸建住宅及びマンションを除く）※
　　　（直接補助）：国1/2　都1/4　区市町村1/4　
　　　（間接補助）：国1/3　都1/6　区市町村1/6　事業者等1/3
　　　　
※東京都戸建住宅等耐震化促進事業制度要綱における用語の定義",1,区市町村,"86,085 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,住宅の耐震改修等事業費助成,"補助金の目的：都内全域において、戸建て住宅等の耐震性の向上を図る
補助対象者　：区市町村
補助対象経費：耐震改修等に要する経費
負担割合（都費最大の場合） :
　　通常（整備地域内） ：国23/140　都1/5　区市町村1/5　事業者等61/140
　　通常（整備地域外） ：国23/120　都1/5　区市町村1/5　事業者等49/120 等",1,区市町村,"414,430 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,住宅の耐震改修等事業費助成(太陽光発電システム付属耐震改修),"補助金の目的：都内全域において、耐震改修について太陽光パネルを設置する戸建て住宅等の耐震性の向上を図る
補助対象者　：区市町村
補助対象経費：地域毎に定める要件基準事業費を超えた耐震改修費用
負担割合（都費最大の場合） :都3/5、所有者2/5",1,区市町村,"2,273 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,住宅の耐震改修等事業費助成(障害者等居住住宅),"補助金の目的：都内全域において、障害者等が居住する戸建て住宅等の耐震性の向上を図る
補助対象者　：区市町村
補助対象経費：耐震改修、建替えに要する経費
負担割合（都費最大の場合） :都1/2、区市町村1/2",1,区市町村,"80,112 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,住宅の耐震改修等事業費助成(耐震シェルター等設置),"補助金の目的：都内全域において、戸建住宅等の居住者の命を守る取組である戸建住宅等への耐震シェルター等の設置への補助
補助対象者　：区市町村
補助対象経費：耐震シェルター等の設置に要する費用
負担割合（都費最大の場合） :国：1/2、都1/4、区市町村1/4",1,区市町村,"6,000 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,木造住宅耐震診断士育成等事業,"補助金の目的：都民が安心して木造住宅の耐震診断及び耐震改修に取り組むことができる環境を整備し、木造住宅の耐震化促進に寄与する
補助対象者　：指定登録機関
補助対象経費：報償費、一般需用費、通信運搬費、委託費、使用料及賃借料、人件費、旅費交通費
負担割合　　：国1/2　都1/2",5,民間団体,"3,000 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,緊急輸送道路沿道の耐震化（耐震診断）,"補助金の目的：地震発生時において緊急輸送道路に係る沿道建築物の倒壊による道路の閉塞を防ぎ、広域的な避難路及び輸送路を確保する
補助対象者　：区市町村
補助対象経費：耐震診断に要する費用
負担割合　　：国1/3　都17/60　区市町村17/60　事業者等1/10",1,区市町村,"216,314 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,緊急輸送道路沿道の耐震化（耐震改修）,"補助金の目的：地震発生時において緊急輸送道路に係る沿道建築物の倒壊による道路の閉塞を防ぎ、広域的な避難路及び輸送路を確保する
補助対象者　：区市町村
補助対象経費：耐震改修、建替え及び除却に要する費用
負担割合　　：【補強設計（一般沿道）】国1/3　都1/4　区市町村1/4　事業者等1/6
　　　　　　　　　【補強設計（特定沿道）】国1/2　都1/3　区市町村1/6
　　　　　　　　　【耐震改修等（一般沿道：延床面積5,000㎡以下の部分・分譲マンション】
　　　　　　　　　　　　　　　　　　　　　　　　国1/3　都1/4　区市町村1/4　事業者等1/6
　　　　　　　　　【耐震改修等（一般沿道：延床面積5,000㎡超の部分】
　　　　　　　　　　　　　　　　　　　　　　　　国1/4　都1/8　区市町村1/8　事業者等1/2
　　　　　　　　　【耐震改修等（一般沿道：延床面積10,000㎡超の部分（分譲マンション）】
　　　　　　　　　　　　　　　　　　　　　　　　国1/3　都1/4　区市町村1/4　事業者等1/6
　　　　　　　　　【耐震改修等（特定沿道：延床面積5,000㎡以下の部分・分譲マンション】
　　　　　　　　　　　　　　　　　　　　　　　　国2/5　都1/3　区市町村1/6　事業者等1/10
　　　　　　　　　【耐震改修等（特定沿道：延床面積5,000㎡超の部分】
　　　　　　　　　　　　　　　　　　　　　　　　国3/10　都1/6　区市町村1/12　事業者等9/20
　　　　　　　　　【耐震改修等（特定沿道：延床面積10,000㎡超の部分（分譲マンション）】
　　　　　　　　　　　　　　　　　　　　　　　　国2/5　都1/3　区市町村1/6　事業者等1/10",1,区市町村,"2,644,982 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,緊急輸送道路沿道の耐震化（占有者加算）,"補助金の目的：地震発生時において緊急輸送道路に係る沿道建築物の倒壊による道路の閉塞を防ぎ、広域的な避難路及び輸送路を確保する
補助対象者　：区市町村
補助対象経費：耐震改修、建替え及び除却に要する費用
負担割合　　：【特定沿道】都6/10　区市町村3/10　事業者等1/10
　　　　　　　　　【一般沿道】都1/3　区市町村1/3　事業者等1/3",1,区市町村,"92,663 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
2026,10,都市整備局,14,都市の整備,耐震改修促進事業,緊急輸送道路沿道の耐震化（耐震化準備事業）,"補助金の目的：地震発生時において緊急輸送道路に係る沿道建築物の倒壊による道路の閉塞を防ぎ、広域的な避難路及び輸送路を確保する
補助対象者　：区市町村
補助対象経費：耐震改修、建替え及び除却に要する費用
負担割合　　：都5/9　区市町村5/18　事業者等1/6",1,区市町村,"70,543 ",都市整備局市街地建築部建築企画課,03-5388-3348,https://www.taishin.metro.tokyo.lg.jp/support/index.php
